wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
0.006024096385542169,0.16666666666666666,0.0,0.002232142857142857,0.003105590062111801,0.0,0.002242152466367713,0.0,0.006369426751592357,1.0,0.00048146364949446316,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.030303030303030304,0.11764705882352941,0
0.030120481927710843,0.5,0.0,0.013392857142857142,0.06832298136645963,0.0007343761474627304,0.002242152466367713,0.06578947368421052,0.01910828025477707,1.0,0.0327395281656235,0.0,0.0,0.789473684,0.5,0.0,0.0,0.07941176468919921,0.06060606060606061,0.11764705882352941,0
0.04819277108433735,0.5,0.0,0.026785714285714284,0.09006211180124224,0.0,0.002242152466367713,0.15789473684210525,0.03184713375796178,0.3214285715,0.05151661049590756,1.0,0.1111111111111111,0.769230769,0.314285714,0.25,0.047619047619047616,0.07484243695906671,0.06060606060606061,0.10294117647058823,0
0.024096385542168676,0.5,0.0,0.006696428571428571,0.015527950310559006,0.0002937504589850922,0.002242152466367713,0.039473684210526314,0.025477707006369428,0.3333333335,0.01059220028887819,1.0,0.1111111111111111,0.5,0.5,0.0,0.0,0.026785714280087032,0.030303030303030304,0.08823529411764706,0
0.018072289156626505,0.8333333333333334,0.0,0.002232142857142857,0.027950310559006212,0.0,0.0,0.013157894736842105,0.01910828025477707,0.25,0.015888300433317286,1.0,0.0,0.894736842,0.555555556,0.0,0.0,0.05882352939730598,0.030303030303030304,0.07843529411764705,1
0.030120481927710843,0.3333333333333333,0.0,0.008928571428571428,0.043478260869565216,0.0,0.002242152466367713,0.039473684210526314,0.03184713375796178,0.1666666665,0.0327395281656235,1.0,0.2222222222222222,0.777777778,0.36,0.25,0.23809523809523808,0.07563025208495162,0.09090909090909091,0.1411764705882353,1
0.1566265060240964,0.16666666666666666,0.0,1.0,0.08074534161490683,0.02386722479253874,1.0,0.05263157894736842,0.16560509554140126,0.52,0.013962445835339432,0.0,0.0,0.0,0.157692308,0.0,0.0,0.0,0.030303030303030304,0.11764705882352941,1
0.4939759036144578,0.16666666666666666,0.02564102564102564,0.049107142857142856,0.4440993788819876,0.212748769919953,0.008968609865470852,0.23684210526315788,0.49044585987261147,0.477469136,0.4501685122773231,1.0,0.1111111111111111,0.0,0.114446529,0.0,0.0,0.06248718998267075,0.7878787878787878,0.17072941176470588,0
0.04819277108433735,0.5,0.0,0.022321428571428572,0.14596273291925466,0.0014687522949254608,0.002242152466367713,0.13157894736842105,0.03184713375796178,0.3214285715,0.1203659123736158,1.0,0.1111111111111111,0.769230769,0.285714286,0.0,0.0,0.18907563021237905,0.18181818181818182,0.17647058823529413,1
0.03614457831325301,0.5,0.0,0.022321428571428572,0.13354037267080746,0.0002203128442388191,0.006726457399103139,0.13157894736842105,0.01910828025477707,0.3,0.09821858449687049,1.0,0.1111111111111111,0.75,0.305555556,0.25,0.047619047619047616,0.20588235291893225,0.18181818181818182,0.19608235294117649,0
0.006024096385542169,0.16666666666666666,0.0,0.013392857142857142,0.003105590062111801,0.0,0.011210762331838564,0.039473684210526314,0.006369426751592357,1.0,0.00048146364949446316,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.030303030303030304,0.11764705882352941,0
0.12048192771084337,0.16666666666666666,0.0,0.015625,0.12111801242236025,0.009693765146508042,0.002242152466367713,0.07894736842105263,0.11464968152866242,0.4407894735,0.17477130476649014,1.0,0.0,0.0,0.3875,0.0,0.0,0.1055672268685783,0.9090909090909091,0.3,1
0.018072289156626505,0.16666666666666666,0.0,0.008928571428571428,0.009316770186335404,0.0002203128442388191,0.006726457399103139,0.013157894736842105,0.01910828025477707,1.0,0.0014443909484833895,0.0,0.0,0.0,0.833333333,0.0,0.0,0.0,0.030303030303030304,0.11764705882352941,0
0.05421686746987952,0.16666666666666666,0.05128205128205128,0.024553571428571428,0.09937888198757763,0.002203128442388191,0.004484304932735426,0.11842105263157894,0.025477707006369428,0.28125,0.09388541165142032,0.5,0.0,0.0,0.265625,0.0,0.0,0.12885154056116566,0.30303030303030304,0.23529411764705882,0
0.04819277108433735,0.3333333333333333,0.6923076923076923,0.07142857142857142,0.049689440993788817,0.0,0.06053811659192825,0.06578947368421052,0.03821656050955414,0.142857143,0.02262879152623977,1.0,0.1111111111111111,0.65,0.34375,0.25,0.047619047619047616,0.029936974783626686,0.030303030303030304,0.10294117647058823,0
0.030120481927710843,0.6666666666666666,0.0,0.017857142857142856,0.037267080745341616,0.0007343761474627304,0.006726457399103139,0.06578947368421052,0.03184713375796178,1.0,0.013480982185844969,0.0,0.0,0.974522293,0.6,0.25,0.047619047619047616,0.028991596632564787,0.030303030303030304,0.09411764705882353,0
0.10843373493975904,0.3333333333333333,0.0,0.020089285714285716,0.062111801242236024,0.010795329367702137,0.008968609865470852,0.09210526315789473,0.08917197452229299,0.3529411765,0.04814636494944632,1.0,0.1111111111111111,0.692307692,0.259259259,0.25,0.14285714285714285,0.02836134453185686,0.030303030303030304,0.1045764705882353,0
0.07228915662650602,0.5,0.3333333333333333,0.049107142857142856,0.07453416149068323,0.002203128442388191,0.033632286995515695,0.10526315789473684,0.06369426751592357,0.25,0.0548868560423688,1.0,0.1111111111111111,0.956521739,0.226190476,0.25,0.14285714285714285,0.05252100839022668,0.06060606060606061,0.09803529411764707,0
